Timestamp,IntegerValue1,IntegerValue2,String1,String2,BooleanValue1,BooleanValue2,DecimalValue1,DecimalValue2,String3,IntegerValue3,Timestamp2
2022-06-19 23:46:52,571,1951,Item_28,Category_3,True,True,96.02,530.52,Code_6277,5470,2024-11-09 13:55:54
2022-02-09 03:46:21,531,1466,Item_29,Category_5,True,False,54.52,722.02,Code_3168,5265,2024-03-11 05:49:05
2024-04-10 05:14:02,553,1430,Item_30,Category_3,False,True,94.99,787.05,Code_9151,9884,2023-11-26 11:51:57
2022-11-18 07:20:42,380,1005,Item_31,Category_3,False,False,62.27,239.02,Code_3579,6620,2023-10-08 19:31:09
2022-07-29 09:57:00,988,1253,Item_32,Category_2,True,True,14.44,413.7,Code_8544,6571,2024-07-09 11:46:43
2022-05-28 01:35:10,487,1940,Item_33,Category_1,False,True,46.65,298.48,Code_4051,9689,2022-07-07 20:14:05
2023-12-22 03:10:56,979,1384,Item_34,Category_4,False,False,24.96,961.98,Code_2150,7733,2024-05-18 20:52:56
2023-07-11 03:06:31,898,1837,Item_35,Category_3,False,True,44.04,582.81,Code_2992,9539,2024-05-27 18:40:13
2023-08-21 15:08:03,468,1234,Item_36,Category_4,False,False,46.32,564.11,Code_1734,7531,2023-09-25 17:52:44
2024-07-17 06:05:44,142,1410,Item_37,Category_3,True,False,39.93,259.73,Code_9714,8200,2022-03-17 10:17:03
2022-01-11 17:05:34,823,1011,Item_38,Category_1,False,True,42.42,552.13,Code_8442,8025,2022-05-01 21:13:57
2024-12-03 23:56:15,316,1918,Item_39,Category_4,True,False,25.9,805.27,Code_1678,6020,2022-12-22 15:44:07
2022-07-17 14:33:41,91,1246,Item_40,Category_3,True,False,25.31,653.99,Code_5948,8736,2022-09-12 09:02:56
2023-07-04 03:42:34,958,1505,Item_41,Category_3,False,True,95.43,606.34,Code_2335,6466,2023-08-16 02:18:36
2023-01-23 11:18:53,401,1951,Item_42,Category_3,True,False,29.47,935.52,Code_3996,6695,2023-03-29 17:37:46
2022-07-15 17:21:57,680,1812,Item_43,Category_4,True,True,56.79,865.2,Code_5212,8995,2023-01-25 02:33:02
2022-03-05 20:18:01,186,1646,Item_44,Category_5,False,False,91.67,984.27,Code_3140,5325,2023-02-05 19:15:58
2022-09-12 10:19:04,535,1801,Item_45,Category_5,False,False,72.85,927.62,Code_4402,9197,2022-05-18 20:19:10
2023-12-18 01:46:50,760,1174,Item_46,Category_4,True,False,20.96,883.62,Code_6530,6353,2024-01-22 11:23:10
2022-04-09 18:14:09,934,1184,Item_47,Category_4,False,False,16.45,577.19,Code_3271,8484,2024-08-13 23:50:17
2024-01-09 04:50:39,534,1746,Item_48,Category_1,False,False,75.2,882.42,Code_2880,5356,2023-12-07 15:12:59
2024-03-09 05:24:40,319,1032,Item_49,Category_3,True,True,89.7,494.93,Code_8625,5645,2022-09-05 08:17:15
2023-10-29 09:48:48,330,1257,Item_50,Category_2,True,True,75.69,175.82,Code_5697,8657,2024-07-12 09:33:42
2023-04-19 12:28:26,370,1421,Item_51,Category_3,True,False,62.37,825.04,Code_2598,5811,2022-11-09 16:24:57
2023-02-11 10:59:26,242,1159,Item_52,Category_2,True,True,31.12,379.92,Code_7649,9623,2022-12-12 15:01:30
2022-04-13 12:28:17,829,1301,Item_53,Category_5,True,False,66.44,959.93,Code_8711,5287,2024-09-18 23:18:38
2022-12-15 06:48:38,596,1267,Item_54,Category_1,True,True,64.88,427.04,Code_4791,6682,2024-12-26 07:21:18
2024-10-21 01:14:48,673,1136,Item_55,Category_2,True,True,73.55,787.08,Code_4646,5903,2023-01-12 20:18:56
2022-03-01 00:22:36,143,1642,Item_56,Category_3,True,True,86.39,741.2,Code_9702,7470,2024-04-28 17:31:37
2024-08-27 05:39:03,65,1147,Item_57,Category_2,False,True,12.56,975.66,Code_8145,5205,2023-11-22 08:56:29
2024-07-25 17:18:15,800,1234,Item_58,Category_4,False,False,60.91,616.38,Code_9256,9537,2022-01-14 18:59:22
2022-09-16 09:31:50,611,1424,Item_59,Category_4,False,False,94.72,557.32,Code_1167,5863,2023-09-05 23:40:08
2024-10-24 09:37:22,504,1557,Item_60,Category_5,False,True,36.33,320.41,Code_1594,9277,2023-08-26 15:56:47
2023-11-28 09:29:07,710,1008,Item_61,Category_3,True,False,97.54,802.16,Code_4232,5287,2023-08-10 19:59:56
2024-06-18 13:48:45,705,1247,Item_62,Category_4,True,True,95.65,563.76,Code_7364,6675,2022-01-16 10:37:12
2024-06-10 16:02:42,59,1619,Item_63,Category_2,False,True,92.12,412.68,Code_4745,9711,2022-09-05 23:06:57
2024-12-19 16:10:53,412,1864,Item_64,Category_1,True,False,94.07,679.48,Code_6257,7047,2022-10-08 12:32:18
2022-06-02 13:18:38,752,1746,Item_65,Category_2,True,True,33.59,446.81,Code_1895,8044,2024-11-23 10:00:24
2023-01-26 22:06:41,920,1584,Item_66,Category_1,True,False,59.63,570.88,Code_7180,9560,2024-09-16 07:55:12
2023-08-19 09:00:45,990,1421,Item_67,Category_2,True,True,38.91,687.04,Code_6035,9559,2022-04-28 14:24:21
2024-03-21 08:00:50,967,1191,Item_68,Category_2,True,False,52.37,849.6,Code_6546,5666,2024-11-23 23:12:29
2023-02-03 23:53:41,159,1261,Item_69,Category_3,False,True,18.58,945.56,Code_5252,9976,2024-03-14 08:35:58
2022-06-03 15:19:12,776,1986,Item_70,Category_5,False,True,36.78,188.75,Code_8878,9496,2022-07-27 01:15:07
2022-08-03 19:13:31,149,1425,Item_71,Category_5,True,True,77.03,559.56,Code_2324,8056,2023-07-27 17:58:22
2022-05-05 03:51:45,82,1321,Item_72,Category_2,False,True,29.2,646.29,Code_9782,5541,2023-03-01 12:35:45
2024-04-02 21:58:59,219,1579,Item_73,Category_1,True,True,81.56,947.53,Code_6869,9996,2022-04-26 14:30:20
2024-01-24 23:06:18,527,1300,Item_74,Category_4,True,False,39.04,992.63,Code_3011,6142,2022-09-30 10:54:27
2023-04-02 15:33:05,301,1282,Item_75,Category_3,True,False,48.58,508.07,Code_9669,5816,2022-08-24 04:11:12
2023-03-12 09:39:11,716,1742,Item_76,Category_3,True,False,80.45,123.41,Code_6497,5705,2024-12-21 07:33:51
2024-07-13 19:39:18,365,1178,Item_77,Category_5,True,False,66.53,707.15,Code_3930,8806,2023-10-14 20:14:11
2023-01-01 05:51:51,320,1414,Item_78,Category_2,True,False,52.74,397.84,Code_7045,7680,2024-01-05 11:05:12
2023-10-19 20:43:31,314,1862,Item_79,Category_5,False,False,46.93,790.38,Code_2001,8723,2024-12-07 19:57:33
2024-03-19 13:28:10,925,1868,Item_80,Category_2,False,True,80.06,148.87,Code_2954,6136,2022-01-11 02:52:58
2024-01-21 05:37:43,412,1530,Item_81,Category_2,False,False,99.82,904.02,Code_6368,5061,2023-09-29 13:58:58
2023-11-08 14:43:56,796,1084,Item_82,Category_4,False,False,32.82,779.89,Code_5031,5925,2024-08-24 04:42:20
2024-10-19 07:00:30,901,1978,Item_83,Category_3,False,False,97.75,776.74,Code_6264,5704,2024-09-02 17:43:51
2022-06-20 09:35:38,115,1119,Item_84,Category_3,False,False,18.74,978.21,Code_2532,5871,2024-07-29 19:57:40
2024-05-28 02:24:14,120,1992,Item_85,Category_4,True,True,74.17,288.96,Code_1014,6616,2022-04-15 15:00:34
2022-03-28 16:35:00,351,1936,Item_86,Category_5,False,True,22.87,510.17,Code_6910,8796,2023-11-26 11:23:37
2024-03-28 01:05:45,726,1549,Item_87,Category_4,False,False,97.86,516.15,Code_8001,5757,2023-02-17 14:04:19
2023-06-09 21:52:31,375,1316,Item_88,Category_5,False,False,34.85,846.28,Code_8347,8832,2024-08-03 21:56:45
2022-09-06 19:52:10,882,1599,Item_89,Category_3,True,True,65.94,984.8,Code_4237,5629,2023-06-29 06:09:03
2022-07-27 20:17:44,455,1156,Item_90,Category_2,True,False,51.81,542.33,Code_2000,5765,2023-05-13 18:59:40
2023-04-30 07:13:53,557,1294,Item_91,Category_5,True,True,79.91,685.42,Code_1103,8505,2022-08-07 12:22:21
2023-04-08 17:52:27,369,1008,Item_92,Category_5,True,True,76.85,580.34,Code_1675,7683,2023-03-02 00:14:00
2024-05-26 04:07:34,291,1887,Item_93,Category_4,True,False,84.2,769.1,Code_6818,9281,2023-08-19 12:52:40
2023-05-16 01:23:53,202,1029,Item_94,Category_4,False,True,26.32,610.48,Code_1578,9051,2023-10-14 06:48:16
2023-08-03 14:48:13,262,1794,Item_95,Category_2,True,True,32.37,329.08,Code_1071,8239,2022-10-19 05:51:01
2023-11-02 00:31:09,935,1990,Item_96,Category_1,True,True,50.81,403.52,Code_2199,6151,2022-12-26 17:51:05
2023-01-21 10:47:59,673,1974,Item_97,Category_2,True,True,41.55,688.02,Code_4663,5348,2022-07-08 17:06:19
2023-12-13 12:51:45,537,1133,Item_98,Category_2,False,True,51.77,245.07,Code_9635,9189,2023-10-06 18:29:12
2023-02-05 17:37:57,108,1924,Item_99,Category_1,False,True,17.93,494.9,Code_8371,6949,2024-02-02 12:25:25
